#freq (MHz)	Tsys (Average; K)	gain (Average; K/Jy)	SEFD (Jy)
700	66.71858211	1.912292852	34.88931209
800	45.34896346	1.885778106	24.04787887
900	31.16079163	1.849163182	16.85129357
1000	34.8516281	1.853628763	18.80183821
1100	37.82159861	1.839887856	20.55646951
1200	43.33339154	1.866499309	23.21639839
1300	28.1237878	1.823058018	15.42671024
1400	31.28785981	1.926429119	16.24137607
1500	51.11949101	1.801099872	28.38237447
1600	37.92548787	1.844828439	20.55773159
1700	30.86757773	1.805192847	17.0993242
1800	27.77039305	1.708958143	16.24989656
1900	39.26371008	1.983699492	19.79317445
2000	32.72281745	1.718913261	19.03692187
2100	29.60433531	1.848170514	16.01818397
2200	19.10588029	2.03118256	9.406284135
2300	31.66194537	1.991461639	15.89884773
2400	30.97542328	2.16910361	14.28028755
2500	30.28890119	2.1506326	14.08371713
2600	34.71972872	2.031046033	17.09450606
2700	33.57861554	2.063223819	16.27482934
2800	36.94012483	2.136126571	17.29304121
2900	36.39151381	2.109367213	17.2523369
3000	32.495893	2.131422066	15.24610893
3100	35.27005923	2.08754275	16.89549075
3200	37.15861416	1.770822091	20.98382121
3300	39.13440585	1.5152543	25.82695581
3400	42.1917192	1.853341487	22.76521596
3500	39.9685806	2.146167018	18.62323867
3600	51.24071963	1.623236043	31.56701691
3700	52.71749256	1.095734247	48.11156784
3800	50.40135685	1.550188231	32.51305604
3900	60.98038348	1.315221846	46.36509321
4000	103.5221073	0.848193126	122.0501607
4100	103.917712	1.025249167	101.3584944
4200	103.917712	1.303335435	79.73213124
